Features
MACCS_164
MACCS_36
MACCS_81
MACCS_38
MACCS_42
MACCS_67
MACCS_49
MACCS_69
MACCS_119
MACCS_26
MACCS_86
MACCS_73
MACCS_60
MACCS_61
MACCS_43
MACCS_52
MACCS_47
MACCS_64
MACCS_130
MACCS_102
MACCS_94
MACCS_103
MACCS_77
MACCS_57
MACCS_165
MACCS_107
MACCS_124
MACCS_74
MACCS_54
MACCS_114
MACCS_84
MACCS_76
MACCS_87
MACCS_53
MACCS_88
MACCS_50
MACCS_62
MACCS_58
MACCS_55
MACCS_59
MACCS_45
MACCS_23
MACCS_41
MACCS_44
MACCS_17
MACCS_56
MACCS_30
MACCS_40
MACCS_39
MACCS_16
MACCS_14
MACCS_35
MACCS_46
MACCS_15
MACCS_21
MACCS_9
MACCS_63
MACCS_8
MACCS_51
MACCS_29
MACCS_37
MACCS_25
MACCS_166
MACCS_33
MACCS_71
MACCS_19
MACCS_78
MACCS_32
MACCS_24
MACCS_48
MACCS_70
MACCS_11
MACCS_28
MACCS_22
MACCS_34
MACCS_66
MACCS_99
MACCS_82
MACCS_139
MACCS_149
MACCS_131
MACCS_147
MACCS_132
MACCS_118
MACCS_148
MACCS_142
MACCS_121
MACCS_151
MACCS_105
MACCS_140
MACCS_129
MACCS_96
MACCS_135
MACCS_101
MACCS_145
MACCS_152
MACCS_128
MACCS_156
MACCS_163
MACCS_159
MACCS_157
MACCS_160
MACCS_162
MACCS_161
MACCS_154
MACCS_150
MACCS_155
MACCS_158
MACCS_146
MACCS_127
MACCS_143
MACCS_153
MACCS_137
MACCS_91
MACCS_120
MACCS_122
MACCS_138
MACCS_108
MACCS_123
MACCS_110
MACCS_109
MACCS_72
MACCS_141
MACCS_133
MACCS_65
MACCS_92
MACCS_79
MACCS_106
MACCS_80
MACCS_93
MACCS_134
MACCS_75
MACCS_85
MACCS_113
MACCS_115
MACCS_98
MACCS_104
MACCS_144
MACCS_125
MACCS_112
MACCS_97
MACCS_90
MACCS_111
MACCS_136
MACCS_126
MACCS_95
MACCS_100
MACCS_83
MACCS_89
MACCS_116
MACCS_117
MACCS_27
MACCS_13
MACCS_12
MACCS_10
MACCS_6
MACCS_3
MACCS_68
MACCS_31
MACCS_18
ECFP4_bitvector356
ECFP4_bitvector938
ECFP4_bitvector864
ECFP4_bitvector190
ECFP4_bitvector900
ECFP4_bitvector709
ECFP4_bitvector678
ECFP4_bitvector196
ECFP4_bitvector526
ECFP4_bitvector254
ECFP4_bitvector717
ECFP4_bitvector468
ECFP4_bitvector638
ECFP4_bitvector642
ECFP4_bitvector883
ECFP4_bitvector999
ECFP4_bitvector627
ECFP4_bitvector712
ECFP4_bitvector941
ECFP4_bitvector481
ECFP4_bitvector601
ECFP4_bitvector34
ECFP4_bitvector863
ECFP4_bitvector402
ECFP4_bitvector912
ECFP4_bitvector187
ECFP4_bitvector127
ECFP4_bitvector43
ECFP4_bitvector396
ECFP4_bitvector962
ECFP4_bitvector487
ECFP4_bitvector497
ECFP4_bitvector815
ECFP4_bitvector18
ECFP4_bitvector485
ECFP4_bitvector265
ECFP4_bitvector1022
ECFP4_bitvector110
ECFP4_bitvector885
ECFP4_bitvector348
ECFP4_bitvector891
ECFP4_bitvector278
ECFP4_bitvector256
ECFP4_bitvector16
ECFP4_bitvector645
